kepoi_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_count
0873.01,CONFIRMED,4.347288783,8.5120000e-06,-8.5120000e-06,2.36,3.900e-01,-2.900e-01,1
0874.01,CONFIRMED,4.601811819,6.1680000e-06,-6.1680000e-06,2.35,9.000e-02,-1.800e-01,2
0874.02,CONFIRMED,11.187199050,5.3310000e-05,-5.3310000e-05,1.55,6.000e-02,-1.200e-01,2
0875.01,CONFIRMED,4.220965778,2.5840000e-06,-2.5840000e-06,2.62,5.800e-01,-5.800e-01,1
0876.01,FALSE POSITIVE,6.998099523,2.3560000e-06,-2.3560000e-06,588.66,1.285e+02,-4.616e+01,1
0877.01,CONFIRMED,5.954899930,5.4820000e-06,-5.4820000e-06,2.33,1.000e-01,-1.100e-01,3
0877.02,CONFIRMED,12.039874880,1.8250000e-05,-1.8250000e-05,2.18,9.000e-02,-1.000e-01,3
0877.03,CONFIRMED,20.837628950,9.6500000e-05,-9.6500000e-05,1.42,6.000e-02,-7.000e-02,3
0121.01,FALSE POSITIVE,8.811102200,1.6420000e-05,-1.6420000e-05,63.66,8.980e+00,-1.795e+01,1
0878.01,CONFIRMED,23.589171430,5.7860000e-05,-5.7860000e-05,3.16,3.000e-01,-3.300e-01,1
0123.01,CONFIRMED,6.481633073,6.0040000e-06,-6.0040000e-06,2.54,1.100e-01,-1.200e-01,2
0892.01,CONFIRMED,10.371689280,1.4770000e-05,-1.4770000e-05,3.20,1.800e-01,-2.800e-01,2
0892.02,CONFIRMED,3.969962980,1.3950000e-05,-1.3950000e-05,1.78,9.000e-02,-1.600e-01,2
0893.01,CONFIRMED,4.408413310,1.4080000e-05,-1.4080000e-05,2.66,7.900e-01,-3.300e-01,1
0894.01,FALSE POSITIVE,7.942617600,2.4190000e-05,-2.4190000e-05,4.68,1.460e+00,-4.800e-01,1
0881.02,CONFIRMED,226.890477500,9.0570000e-04,-9.0570000e-04,4.53,3.200e-01,-2.000e-01,2
0882.01,FALSE POSITIVE,1.956811408,1.0590000e-06,-1.0590000e-06,21.58,1.330e+00,-1.470e+00,1
0883.01,CANDIDATE,2.688899233,1.9000000e-07,-1.9000000e-07,12.04,1.360e+00,-7.900e-01,1
