KOI,P_ttv [cycles],amplitude_ttv [min],delta_BIC,P_lin,P_ttv [days],nplanets
117.01,2.147104851330204,6.764760204222506,18.606416609508813,14.749164557195758,31.668002773822504,1
117.02,7.829382070721112,15.809817021516333,59.32284067416208,4.901411404160814,38.37502256896467,1
117.03,25.37851296434091,19.17735058456634,85.79452041608852,3.180042671436992,80.70475416422099,1
119.01,4.119001919385796,3.0013356312794035,22.40213311291365,49.18393030641162,202.58870333504663,1
119.02,4.625698324022346,11.091626585562429,20.271595457706944,190.3211134692828,880.3680556009281,1
122.01,250.0,34.17561675792236,43.70468636111087,11.522585855820465,2880.646463955116,0
123.01,2.7500021739193445,3.641373300459628,15.770866828223973,6.481619514010028,17.82446775404562,1
123.02,2.261534858302756,7.244106398983806,22.84628853095711,21.22263953153643,47.9957390857637,1
124.02,7.034068136272546,8.101272382127783,14.48167946409339,31.71980949034647,223.1193012246816,1
127.01,2.4385192159533773,0.1565074138431854,10.175840314684253,3.578780448923553,8.726924894378339,0
137.01,36.93504339653933,6.258467106142299,1055.8339378375858,7.641579576839647,282.242073288681,1
137.02,18.469342370009528,4.275781860245638,752.945722164937,14.858909395359504,274.4342848678459,1
137.03,4.599808298894447,14.250268250914877,367.14927798127474,3.5047239347279118,16.121058240295447,1
139.01,12.0,356.2815057232981,3080.3859458580228,224.87131550159512,2698.4557860191417,1
139.02,2.6155027948926053,12.092234058864175,60.47582942031795,3.341814050693234,8.740523989599533,1
142.01,56.53673006456116,639.5169044622149,5736588.97717597,10.952700919486364,619.2298953628714,1
144.01,5.650299217920555,1.7319740245462696,12.611212099639374,4.176254454149497,23.59708727611813,0
148.01,88.27510358586116,5.5363053826832695,51.908222722226014,4.77800657557794,421.7790253930684,1
148.02,39.27137119908204,3.8931848052789633,56.92825047152797,9.673960306867802,379.90968617619103,1
148.03,2.7004103967168263,11.403182129917404,19.813840922757976,42.89641058199377,115.83791311744966,1
151.01,2.4884616769269536,3.435495568150828,11.43201651156022,13.447181214745404,33.462795115585976,0
152.01,11.964071856287424,9.52099380498707,207.0858123186755,52.09072459614014,623.2171721142994,1
152.02,32.36714975845411,15.854715404539135,65.02620125030083,27.402402808170145,886.9376754335266,1
152.03,4.394765346950505,12.43314223522625,108.4109056218415,13.484537951410012,59.26138010849567,1
152.04,9.235204855842184,36.6986609066412,31.67006686464681,81.06454970230402,748.6477230473782,1
153.02,2.7070949696644373,3.35523663484291,26.633173046231263,4.753998260642261,12.86952477717815,1
156.01,2.2458300839221077,5.381266412652325,25.140464224942377,8.041338102978862,18.05947902665906,1
156.02,7.184075837138313,9.614874171994629,45.11422497929698,5.188564312530255,37.27503950708677,1
